Category,State or City,Number of Suicides,Percentage Share in Total Suicides,Projected Mid-Year Population(in Lakh),Rate of Suicides,Year
State,PUNJAB,648,0.60,242.89,2.66,2001
City,LUDHIANA,32,0.28,13.95,2.29,2001
State,UTTAR PRADESH,3516,3.24,1660.53,2.11,2001
City,LUCKNOW,46,0.40,22.67,2.02,2001
State,NAGALAND,40,0.04,19.89,2.01,2001
City,MEERUT,22,0.19,11.67,1.88,2001
State,MANIPUR,41,0.04,23.89,1.71,2001
State,JAMMU & KASHMIR,153,0.14,100.70,1.51,2001
City,KOLKATA,171,1.50,132.17,1.29,2001
State,JHARKHAND,250,0.23,269.09,0.92,2001
State,BIHAR,603,0.56,828.79,0.72,2001
Union Territory,LAKSHADWEEP,0,0.00,0.61,0.00,2001
Union Territory,PUDUCHERRY,567,0.51,9.91,57.21,2002
Union Territory,A & N ISLANDS,144,0.13,3.65,39.45,2002
City,INDORE,625,5.46,16.39,38.13,2002
City,JABALPUR,376,3.29,11.17,33.66,2002
State,KERALA,9810,8.88,322.7,30.4,2002
City,BENGALURU,1440,12.59,56.87,25.32,2002
City,RAJKOT,250,2.19,10.02,24.95,2002
State,TRIPURA,779,0.71,32.47,23.99,2002
State,KARNATAKA,12270,11.11,536.81,22.86,2002
State,GOA,309,0.28,13.88,22.26,2002
Union Territory,D & N HAVELI,50,0.05,2.28,21.93,2002
City,CHENNAI,1361,11.9,64.25,21.18,2002
City,VIJAYAWADA,214,1.87,10.11,21.17,2002
City,COIMBATORE,302,2.64,14.46,20.89,2002
City,DHANBAD,219,1.91,10.64,20.58,2002
City,NAGPUR,417,3.65,21.23,19.64,2002
State,CHHATTISGARH,3950,3.58,213.03,18.54,2002
State,TAMIL NADU,11244,10.18,629.43,17.86,2002
City,KOCHI,232,2.03,13.55,17.12,2002
City,NASIK,193,1.69,11.52,16.75,2002
City,VISHAKHAPATNAM,220,1.92,13.29,16.55,2002
City,KANPUR,441,3.86,26.9,16.39,2002
State,WEST BENGAL,13007,11.78,817.07,15.92,2002
State,ANDHRA PRADESH,11693,10.59,769.15,15.2,2002
State,MAHARASHTRA,14529,13.16,988.26,14.7,2002
State,SIKKIM,78,0.07,5.53,14.1,2002
City,BHOPAL,194,1.7,14.55,13.33,2002
City,PUNE,496,4.34,37.56,13.21,2002
City,SURAT,340,2.97,28.11,12.1,2002
State,ODISHA,4388,3.97,373.43,11.75,2002
State,MADHYA PRADESH,6899,6.25,620.72,11.11,2002
Union Territory,DAMAN & DIU,17,0.02,1.64,10.37,2002
City,JAIPUR,239,2.09,23.24,10.28,2002
State,ARUNACHAL PRADESH,114,0.10,11.15,10.22,2002
State,HARYANA,2200,1.99,216.44,10.16,2002
City,HYDERABAD,550,4.81,55.34,9.94,2002
City,MADURAI,115,1.01,11.95,9.62,2002
City,VADODARA,143,1.25,14.92,9.58,2002
Union Territory,CHANDIGARH,87,0.08,9.32,9.33,2002
City,ALLAHABAD,97,0.85,10.5,9.24,2002
State,ASSAM,2510,2.27,272.47,9.21,2002
State,GUJARAT,4644,4.21,517.89,8.97,2002
City,AHMEDABAD,385,3.37,45.19,8.52,2002
City,FARIDABAD,85,0.74,10.55,8.06,2002
City,JAMSHEDPUR,86,0.75,11.02,7.8,2002
Union Territory,DELHI (UT),1053,0.95,143.83,7.32,2002
State,MIZORAM,66,0.06,9.1,7.25,2002
City,MUMBAI,1072,9.37,163.68,6.55,2002
City,DELHI (CITY),816,7.13,127.91,6.38,2002
City,AGRA,76,0.66,13.21,5.75,2002
State,RAJASTHAN,3248,2.94,581.25,5.59,2002
State,HIMACHAL PRADESH,334,0.30,61.78,5.41,2002
City,VARANASI,55,0.48,12.12,4.54,2002
State,UTTARAKHAND,361,0.33,86.76,4.16,2002
City,LUCKNOW,73,0.64,22.67,3.22,2002
State,MEGHALAYA,67,0.06,23.58,2.84,2002
State,UTTAR PRADESH,4250,3.85,1708.1,2.49,2002
City,PATNA,42,0.37,17.07,2.46,2002
City,LUDHIANA,33,0.29,13.95,2.37,2002
City,AMRITSAR,24,0.21,10.11,2.37,2002
State,PUNJAB,507,0.46,247.71,2.05,2002
City,MEERUT,22,0.19,11.67,1.89,2002
State,JAMMU & KASHMIR,184,0.17,104.4,1.76,2002
State,MANIPUR,39,0.04,24.43,1.6,2002
City,KOLKATA,201,1.76,132.17,1.52,2002
State,NAGALAND,27,0.02,20.47,1.32,2002
State,JHARKHAND,272,0.25,275.43,0.99,2002
State,BIHAR,720,0.65,851.71,0.85,2002
City,ASANSOL,5,0.04,10.91,0.46,2002
Union Territory,LAKSHADWEEP,0,0.00,0.62,0.00,2002
Union Territory,PUDUCHERRY,582,0.5,10.1,57.9,2003
City,JABALPUR,453,3.8,11.2,40.6,2003
City,INDORE,649,5.4,16.4,39.6,2003
City,ASANSOL,391,3.3,10.9,35.8,2003
Union Territory,A & N ISLANDS,113,0.1,3.7,30.3,2003
State,KERALA,9438,8.5,326.2,28.9,2003
City,RAJKOT,272,2.3,10.0,27.2,2003
City,BENGALURU,1471,12.2,56.9,25.9,2003
State,TRIPURA,844,0.8,32.9,25.6,2003
State,KARNATAKA,12361,11.2,543.7,22.7,2003
Union Territory,D & N HAVELI,52,0.1,2.3,22.3,2003
City,COIMBATORE,308,2.6,14.5,21.3,2003
State,GOA,300,0.3,14.3,21.1,2003
City,BHOPAL,297,2.5,14.6,20.4,2003
City,NAGPUR,429,3.6,21.2,20.2,2003
City,CHENNAI,1238,10.3,64.3,19.3,2003
State,TAMIL NADU,11872,10.7,635.9,18.7,2003
State,SIKKIM,105,0.1,5.6,18.7,2003
City,VISHAKHAPATNAM,244,2.0,13.3,18.4,2003
State,CHHATTISGARH,3919,3.5,217.2,18.0,2003
City,DHANBAD,177,1.5,10.6,16.6,2003
City,KOCHI,222,1.9,13.6,16.4,2003
State,WEST BENGAL,13280,12.0,828.3,16.0,2003
City,NASIK,178,1.5,11.5,15.5,2003
State,MAHARASHTRA,14760,13.3,1003.1,14.7,2003
State,ANDHRA PRADESH,11409,10.3,778.7,14.7,2003
City,JAIPUR,338,2.8,23.2,14.5,2003
City,KANPUR,388,3.2,26.9,14.4,2003
City,VIJAYAWADA,145,1.2,10.1,14.3,2003
Union Territory,DAMAN & DIU,24,0.0,1.7,14.3,2003
City,PUNE,507,4.2,37.6,13.5,2003
City,HYDERABAD,653,5.4,55.3,11.8,2003
State,ODISHA,4420,4.0,378.2,11.7,2003
City,SURAT,327,2.7,28.1,11.6,2003
City,MADURAI,132,1.1,12.0,11.1,2003
Union Territory,CHANDIGARH,103,0.1,9.6,10.8,2003
State,MADHYA PRADESH,6762,6.1,633.7,10.7,2003
City,VADODARA,155,1.3,14.9,10.4,2003
State,HARYANA,2227,2.0,220.4,10.1,2003
State,ASSAM,2596,2.3,277.3,9.4,2003
State,GUJARAT,4566,4.1,526.4,8.7,2003
City,AHMEDABAD,378,3.1,45.2,8.4,2003
City,JAMSHEDPUR,89,0.7,11.0,8.1,2003
Union Territory,DELHI (UT),1153,1.0,148.3,7.8,2003
City,AGRA,95,0.8,13.2,7.2,2003
State,ARUNACHAL PRADESH,81,0.1,11.3,7.2,2003
City,DELHI (CITY),879,7.3,127.9,6.9,2003
City,FARIDABAD,71,0.6,10.6,6.7,2003
State,RAJASTHAN,3661,3.3,593.3,6.2,2003
State,HIMACHAL PRADESH,386,0.4,62.5,6.2,2003
City,ALLAHABAD,64,0.5,10.5,6.1,2003
City,MUMBAI,969,8.1,163.7,5.9,2003
State,MIZORAM,52,0.1,9.2,5.6,2003
City,LUCKNOW,120,1.0,22.7,5.3,2003
State,UTTARAKHAND,391,0.4,88.3,4.4,2003
City,VARANASI,53,0.4,12.1,4.4,2003
Union Territory,LAKSHADWEEP,2,0.0,0.6,3.2,2003
City,AMRITSAR,26,0.2,10.1,2.6,2003
State,PUNJAB,631,0.6,251.1,2.5,2003
City,MEERUT,29,0.2,11.7,2.5,2003
City,PATNA,38,0.3,17.1,2.2,2003
City,LUDHIANA,30,0.3,14.0,2.2,2003
State,UTTAR PRADESH,3663,3.3,1743.8,2.1,2003
State,MEGHALAYA,41,0.0,23.9,1.7,2003
City,KOLKATA,205,1.7,132.2,1.6,2003
State,JAMMU & KASHMIR,138,0.1,107.3,1.3,2003
State,MANIPUR,26,0.0,24.8,1.1,2003
State,NAGALAND,22,0.0,20.8,1.1,2003
State,JHARKHAND,272,0.3,280.0,1.0,2003
State,BIHAR,599,0.5,867.7,0.7,2003
City,LUCKNOW,,,22.7,,2004
Union Territory,PUDUCHERRY,539,0.5,10.2,53.0,2004
City,JABALPUR,437,3.7,11.2,39.1,2004
Union Territory,A & N ISLANDS,122,0.1,3.8,32.2,2004
City,RAJKOT,307,2.6,10.0,30.6,2004
City,INDORE,478,4.1,16.4,29.2,2004
State,KERALA,9053,8.0,329.8,27.4,2004
City,BENGALURU,1528,13.1,56.9,26.9,2004
State,TRIPURA,770,0.7,33.4,23.0,2004
State,KARNATAKA,11937,10.5,550.4,21.7,2004
State,GOA,314,0.3,14.7,21.4,2004
State,CHHATTISGARH,4495,4.0,221.5,20.3,2004
City,DHANBAD,214,1.8,10.6,20.1,2004
State,TAMIL NADU,12839,11.3,642.3,20.0,2004
City,NAGPUR,419,3.6,21.2,19.7,2004
City,BHOPAL,277,2.4,14.6,19.0,2004
City,COIMBATORE,275,2.3,14.5,19.0,2004
City,CHENNAI,1196,10.2,64.3,18.6,2004
City,VIJAYAWADA,186,1.6,10.1,18.4,2004
City,VISHAKHAPATNAM,240,2.0,13.3,18.1,2004
City,ASANSOL,198,1.7,10.9,18.1,2004
State,SIKKIM,98,0.1,5.7,17.3,2004
State,ANDHRA PRADESH,13526,11.9,788.5,17.2,2004
City,NASIK,198,1.7,11.5,17.2,2004
Union Territory,D & N HAVELI,39,0.0,2.4,16.4,2004
State,WEST BENGAL,13424,11.8,839.5,16.0,2004
City,KOCHI,212,1.8,13.6,15.6,2004
City,PUNE,550,4.7,37.6,14.6,2004
State,MAHARASHTRA,14729,13.0,1017.5,14.5,2004
City,MADURAI,173,1.5,11.9,14.5,2004
City,KANPUR,360,3.1,26.9,13.4,2004
City,JAIPUR,279,2.4,23.2,12.0,2004
City,SURAT,332,2.8,28.1,11.8,2004
City,VADODARA,173,1.5,14.9,11.6,2004
State,ODISHA,4215,3.7,382.9,11.0,2004
State,MADHYA PRADESH,6795,6.0,646.6,10.5,2004
City,AHMEDABAD,459,3.9,45.2,10.2,2004
State,ASSAM,2839,2.5,282.1,10.1,2004
State,HARYANA,2082,1.8,224.2,9.3,2004
State,GUJARAT,4776,4.2,534.6,8.9,2004
City,AGRA,115,1.0,13.2,8.7,2004
City,JAMSHEDPUR,95,0.8,11.0,8.6,2004
Union Territory,DELHI (UT),1256,1.1,152.8,8.2,2004
City,ALLAHABAD,86,0.7,10.5,8.2,2004
City,HYDERABAD,441,3.8,55.3,8.0,2004
Union Territory,CHANDIGARH,75,0.1,9.8,7.7,2004
City,DELHI (CITY),967,8.3,127.9,7.6,2004
Union Territory,DAMAN & DIU,13,0.0,1.7,7.6,2004
State,ARUNACHAL PRADESH,79,0.1,11.4,6.9,2004
City,MUMBAI,1106,9.4,163.7,6.8,2004
State,MIZORAM,60,0.1,9.4,6.4,2004
State,RAJASTHAN,3725,3.3,605.1,6.2,2004
State,HIMACHAL PRADESH,371,0.3,63.2,5.9,2004
City,VARANASI,48,0.4,12.1,4.0,2004
City,FARIDABAD,42,0.4,10.6,4.0,2004
City,AMRITSAR,32,0.3,10.1,3.2,2004
City,MEERUT,36,0.3,11.7,3.1,2004
State,UTTARAKHAND,237,0.2,89.7,2.6,2004
State,PUNJAB,645,0.6,254.4,2.5,2004
City,LUDHIANA,34,0.3,13.9,2.4,2004
State,MEGHALAYA,55,0.0,24.2,2.3,2004
State,UTTAR PRADESH,3637,3.2,1779.4,2.0,2004
State,MANIPUR,41,0.0,25.1,1.6,2004
City,KOLKATA,201,1.7,132.2,1.5,2004
State,JHARKHAND,417,0.4,284.5,1.5,2004
State,NAGALAND,31,0.0,21.0,1.5,2004
State,JAMMU & KASHMIR,112,0.1,110.4,1.0,2004
City,PATNA,14,0.1,17.1,0.8,2004
State,BIHAR,351,0.3,883.1,0.4,2004
Union Territory,LAKSHADWEEP,0,0.0,0.6,0.0,2004
Union Territory,PUDUCHERRY,538,0.5,10.3,52.1,2005
Union Territory,A & N ISLANDS,139,0.1,3.9,35.8,2005
City,CHENNAI,1922,15.6,64.3,29.9,2005
City,JABALPUR,334,2.7,11.2,29.9,2005
Union Territory,D & N HAVELI,69,0.1,2.4,28.3,2005
State,KERALA,9244,8.1,333.4,27.7,2005
City,VIJAYAWADA,263,2.1,10.1,26.0,2005
City,BENGALURU,1470,11.9,56.9,25.8,2005
City,RAJKOT,250,2.0,10.0,25.0,2005
City,ASANSOL,257,2.1,10.9,23.6,2005
State,CHHATTISGARH,4881,4.3,225.8,21.6,2005
State,TRIPURA,715,0.6,33.9,21.1,2005
State,KARNATAKA,11557,10.1,557.0,20.7,2005
City,NAGPUR,416,3.4,21.2,19.6,2005
State,SIKKIM,109,0.1,5.8,19.0,2005
State,GOA,282,0.2,15.1,18.7,2005
State,TAMIL NADU,12076,10.6,648.6,18.6,2005
City,COIMBATORE,267,2.2,14.5,18.5,2005
Union Territory,DAMAN & DIU,32,0.0,1.8,18.3,2005
City,NASIK,209,1.7,11.5,18.1,2005
State,WEST BENGAL,15015,13.2,850.5,17.7,2005
City,BHOPAL,257,2.1,14.6,17.7,2005
City,MADURAI,210,1.7,11.9,17.6,2005
State,ANDHRA PRADESH,13442,11.8,798.1,16.8,2005
City,KOCHI,224,1.8,13.6,16.5,2005
State,MAHARASHTRA,14426,12.7,1031.6,14.0,2005
City,VISHAKHAPATNAM,184,1.5,13.3,13.8,2005
City,KANPUR,366,3.0,26.9,13.6,2005
City,PUNE,506,4.1,37.6,13.5,2005
City,DHANBAD,141,1.1,10.6,13.3,2005
City,SURAT,365,3.0,28.1,13.0,2005
City,VADODARA,179,1.5,14.9,12.0,2005
State,ODISHA,4208,3.7,387.5,10.9,2005
City,HYDERABAD,593,4.8,55.3,10.7,2005
City,AHMEDABAD,468,3.8,45.2,10.4,2005
City,JAIPUR,242,2.0,23.2,10.4,2005
State,ASSAM,2846,2.5,286.9,9.9,2005
City,JAMSHEDPUR,105,0.9,11.0,9.5,2005
State,HARYANA,2046,1.8,227.9,9.0,2005
Union Territory,CHANDIGARH,89,0.1,10.0,8.9,2005
State,GUJARAT,4765,4.2,542.7,8.8,2005
City,LUCKNOW,193,1.6,22.7,8.5,2005
City,DELHI (CITY),1073,8.7,127.9,8.4,2005
State,MADHYA PRADESH,5448,4.8,659.5,8.3,2005
Union Territory,DELHI (UT),1245,1.1,157.4,7.9,2005
City,ALLAHABAD,79,0.6,10.5,7.5,2005
City,MUMBAI,1192,9.7,163.7,7.3,2005
State,RAJASTHAN,4178,3.7,616.7,6.8,2005
City,FARIDABAD,65,0.5,10.6,6.2,2005
State,ARUNACHAL PRADESH,70,0.1,11.6,6.0,2005
State,MIZORAM,55,0.0,9.5,5.8,2005
State,HIMACHAL PRADESH,359,0.3,63.8,5.6,2005
City,AGRA,54,0.4,13.2,4.1,2005
City,MEERUT,41,0.3,11.7,3.5,2005
City,VARANASI,39,0.3,12.1,3.2,2005
State,UTTARAKHAND,273,0.2,91.2,3.0,2005
