proid,CATEGORY,CURRENT STATUS,DIV,ESTIMATE AMOUNT  (LAKHS),LOCATION,PROJECT NAME,SOURCE OF FUND,ZONE,YearProposed,YearComplete,PROJECT DEPARTMENT
17,CONCRETE ROAD,WORK IN EXECUTION,24,11.28,BHARATHIDASAN NAGAR BURIAL GROUND,"FORMING AND LAYING OF CEMENT CONCRETE ROAD AT BHARATHIDASAN NAGAR BURIAL GROUND IN DIV-24, UNIT-6, ZONE-3",OWN SOURCES,3,2021-22,NA,Zonal
18,PARK REJUVENATION,WORK IN EXECUTION,24,4.84,SRI LAKSHIMI AMMAN NAGAR,"MAINTENANCE FOR PARK AT SRI LAKSHIMI AMMAN NAGAR PARK IN WARD-24,UNIT-6,ZONE-3",OWN SOURCES,3,2021-22,NA,Zonal
19,PARK REJUVENATION,WORK IN EXECUTION,24,4.55,DG NAGAR,"MAINTENANCE FOR PARK AT DG NAGAR PARK IN DIV-24, UNIT-6, ZONE-3",OWN SOURCES,3,2021-22,NA,Zonal
20,PARK REJUVENATION,WORK IN EXECUTION,25,8.2,PADMAVATHY NAGAR 7TH STREET,"MAINTENANCE FOR PARK AT PADMAVATHY NAGAR 7TH STREET IN DIV- 25,UNIT-6,ZONE-3",OWN SOURCES,3,2021-22,NA,Zonal
21,PARK REJUVENATION,WORK IN EXECUTION,25,7.42,BIRLA AVENUE,"MAINTENANCE FOR PARK AT BIRLA AVENUE IN DIV-25,UNIT-6,ZONE-3",OWN SOURCES,3,2021-22,NA,Zonal
22,PARK REJUVENATION,WORK IN EXECUTION,25,6.98,COLLECTOR NAGAR MAIN ROAD,"MAINTENANCE FOR PARK AT COLLECTOR NAGAR MAIN ROAD IN DIV- 25,UNIT-6,ZONE-3",OWN SOURCES,3,2021-22,NA,Zonal
23,PARK REJUVENATION,WORK IN EXECUTION,25,4.72,SRINIVASA NAGAR MAIN ROAD,"MAINTENANCE FOR PARK AT SRINIVASA NAGAR MAIN ROAD IN DIV- 25,UNIT-6,ZONE-3",OWN SOURCES,3,2021-22,NA,Zonal
24,PARK REJUVENATION,WORK IN EXECUTION,25,4.55,PADMAVATHY NAGAR EXTN 5TH STREET,"MAINTENANCE ESTIMATE FOR PARK AT PADMAVATHY NAGAR EXTN 5TH STREET IN DIV-25,UNIT-6,ZONE-3",OWN SOURCES,3,2021-22,NA,Zonal
25,OTHER BUILDING,WORK IN EXECUTION,26,20.22,CMDA TRUCK TERMINAL,"PROPOSED CONSTRUCTION OF NEW MICRO COMPOSTING  CENTRE AT CMDA TRUCK TERMINAL IN DN26,UNIT-7,ZONE-03.",OWN SOURCES,3,2021-22,NA,Zonal
26,CONCRETE ROAD,WORK IN EXECUTION,26,8.37,VINAYAGAPURAM BURIAL GROUND,"IMPROVEMENTS TO RELAYING CC ROAD AT VINAYAGAPURAM BURIAL GROUND IN DIV-26, UNIT-7, ZONE-3",OWN SOURCES,3,2021-22,NA,Zonal
27,PARK REJUVENATION,WORK IN EXECUTION,26,6.75,SECRETARIAT COLONY,"ANNUAL MAINTENANCE  FOR  PARK AT SECRETARIAT COLONY  IN DN-26, UNIT-7, ZONE-3",OWN SOURCES,3,2021-22,NA,Zonal
28,PARK REJUVENATION,WORK IN EXECUTION,26,4.93,BURIAL GROUND ROAD (VINAYAGAPURAM),"ANNUAL MAINTENANCE  FOR  CANAL PARK AT BURIAL GROUND ROAD (VINAYAGAPURAM) IN DN-26, UNIT-7, ZONE-3",OWN SOURCES,3,2021-22,NA,Zonal
29,PARK REJUVENATION,WORK IN EXECUTION,28,6.69,KRISHNA NAGAR,"ANNUAL MAINTENANCE FOR  PARK AT KRISHNA NAGAR IN DN-28, UNIT-7, ZONE-3",OWN SOURCES,3,2021-22,NA,Zonal
30,PARK REJUVENATION,WORK IN EXECUTION,28,10.72,PADMAGIRI  NAGAR,"ANNUAL  MAINTENANCE  FOR PARK AT PADMAGIRI  NAGAR  IN DN-28, UNIT-7, ZONE-3",OWN SOURCES,3,2021-22,NA,Zonal
31,PARK REJUVENATION,WORK IN EXECUTION,30,4.45,RC FLATS (ARUL NAGAR) PARK AT MMC MAIN ROAD,"ANNUAL MAINTENANCE FOR RC FLATS (ARUL NAGAR) PARK AT MMC MAIN ROAD IN DIV-30, UNIT-8, ZONE - 3 AREA =1000.00 SQ.M",OWN SOURCES,3,2021-22,NA,Zonal
32,PARK REJUVENATION,WORK IN EXECUTION,30,7.61,RING ROAD HOUSING SECTOR 1ST MAIN ROAD,"ANNUAL MAINTENANCE FOR RING ROAD HOUSING SECTOR PARK AT RING ROAD HOUSING SECTOR 1ST MAIN ROAD IN DIV-30, UNIT-8, ZONE - 3  AREA =1780.00 SQ.M",OWN SOURCES,3,2021-22,NA,Zonal
33,PARK REJUVENATION,WORK IN EXECUTION,30,4.5,V.S MANI NAGAR,"ANNUAL MAINTENANCE FOR KVT (PHASE I) PARK AT V.S MANI NAGAR IN DIV-30, UNIT-8, ZONE - 3 AREA =537.00 SQ.M",OWN SOURCES,3,2021-22,NA,Zonal
34,PARK REJUVENATION,WORK IN EXECUTION,30,7.72,VRD NAGAR 1ST STREET,"ANNUAL MAINTENANCE FOR VRD NAGAR PARK AT VRD NAGAR 1ST STREET IN DIV-30, UNIT-8, ZONE - 3  AREA =3375.00 SQ.M",OWN SOURCES,3,2021-22,NA,Zonal
35,PARK REJUVENATION,WORK IN EXECUTION,30,4.57,V.S MANI NAGAR,"ANNUAL MAINTENANCE FOR KVT (PHASE II) PARK AT V.S MANI NAGAR IN DIV-30, UNIT-8, ZONE - 3  AREA =372.00SQ.M",OWN SOURCES,3,2021-22,NA,Zonal
36,PARK REJUVENATION,WORK IN EXECUTION,30,6.61,V.S MANI NAGAR,"ANNUAL MAINTENANCE FOR KVT (PHASE III) PARK AT V.S MANI NAGAR IN DIV-30, UNIT-8, ZONE - 3  AREA =1485.00SQ.M",OWN SOURCES,3,2021-22,NA,Zonal
37,PARK REJUVENATION,WORK IN EXECUTION,30,4.7,SIVASAKTHI NAGAR 2ND MAIN ROAD,"ANNUAL MAINTENANCE FOR  SIVASAKTHI NAGAR PARK AT SIVASAKTHI NAGAR 2ND MAIN ROAD IN DIV-30, UNIT-8, ZONE - 3   AREA =830.00   SQ.M",OWN SOURCES,3,2021-22,NA,Zonal
38,PARK REJUVENATION,WORK IN EXECUTION,31,4.5,MRH ROAD,"ANNUAL MAINTENANCE FOR RC FLATS PARK AT MRH ROAD IN DIV-31, UNIT-8, ZONE - 3 AREA =350.00 SQ.M",OWN SOURCES,3,2021-22,NA,Zonal
39,PARK REJUVENATION,WORK IN EXECUTION,30,12.56,KKR NAGAR 1ST MAIN ROAD,"ANNUAL MAINTENANCE FOR KKR NAGAR PARK AT KKR NAGAR 1ST MAIN ROAD IN DIV-31, UNIT-8, ZONE - 3 AREA =4035.00 SQ.M",OWN SOURCES,3,2021-22,NA,Zonal
40,PARK REJUVENATION,WORK IN EXECUTION,31,10.85,KKR GARDEN 2ND MAIN ROAD,"ANNUAL MAINTENANCE FOR KKR GARDEN PARK AT KKR GARDEN 2ND MAIN ROAD IN DIV-31, UNIT-8, ZONE - 3 AREA =4315.00 SQ.M",OWN SOURCES,3,2021-22,NA,Zonal
43,PARK REJUVENATION,WORK IN EXECUTION,33,4.83,THANIKACHALAM NAGAR 80 FEET ROAD,"ANNUAL MAINTENANCE FOR THANIKACHALAM NAGAR PARK AT THANIKACHALAM NAGAR 80 FEET ROAD IN DIV-33, UNIT-8, ZONE - 3 AREA = 951 SQ.M",OWN SOURCES,3,2021-22,NA,Zonal
44,PARK REJUVENATION,WORK IN EXECUTION,33,4.74,VGP NAGAR MAIN ROAD,"ANNUAL MAINTENANCE FOR VGP NAGAR PARK VGP NAGAR MAIN ROAD IN DIV-33, UNIT-8, ZONE - 3 AREA = 1000.00 SQ.M",OWN SOURCES,3,2021-22,NA,Zonal
45,PARK REJUVENATION,WORK IN EXECUTION,33,4.78,SELVAM NAGAR,"ANNUAL MAINTENANCE FOR SELVAM NAGAR PARK SELVAM NAGAR IN DIV-33, UNIT-8, ZONE - 3 AREA = 743 SQ.M",OWN SOURCES,3,2021-22,NA,Zonal
54,BRIDGE,WORK IN EXECUTION,17,1933,BRIDGE ACROSS PUZHAL SURPLUS CANAL CONNECTING DIV-17/ZONE-2 & DIV-24/ZONE-3,CONSTRUCTION OF BRIDGE ACROSS PUZHAL SURPLUS WATER CANAL AT VADAPERUMBAKKAM,GOVT. GRANT,2,2021-22,NA,Zonal
56,BRIDGE,WORK IN EXECUTION,17,1933,BRIDGE ACROSS PUZHAL SURPLUS WATER CANAL CONNECTING GANDHI MAIN ROAD AND VEGETARIAN VILLAGE ,CONSTRUCTION OF BRIDGE ACROSS PUZHAL SURPLUS WATER CANAL AT VADAPERUMBAKKAM,GOVT. GRANT,2,2021-22,NA,Zonal
64,PARK FORMATION,WORK IN EXECUTION,17,126.9,V.S.MANI NAGAR PARK - 5,FORMATION OF NEW PARK AT V.S.MANI NAGAR PARK 5 NEW MADHAVARAM ROUNDTANA,OWN SOURCES,2,2021-22,NA,Zonal
78,PARK FORMATION,WORK IN EXECUTION,19,46.54,"CPCL LAYOUT, 3RD MAIN ROAD, JUNCTION OF MANALI KOSAPUR HIGHWAYS & 200FT ROAD","FORMATION OF NEW PARK AT CPCL LAYOUT, 3RD MAIN ROAD, JUNCTION OF MANALI KOSAPUR HIGHWAYS & 200FT ROAD",OWN SOURCES,2,2021-22,NA,Zonal
81,SWM - PROJECTS - CAPITAL,WORK IN EXECUTION,7,998,SATHANKADU,REMOVAL OF LEGACY WASTE THROUGH BIO-MINING PROCESS AT SATHANKADU DUMPSITE,SBM FUND,1,2021-22,NA,Zonal
82,INTERIOR ROAD - BLACK TOP ROAD,WORK IN EXECUTION,99,17.37,"PONNI COLONY MAIN ROAD , ANNANAGAR WEST ","IMPROVEMENTS TO THE INTERIOR BT ROAD AT PONNI  COLONY MAIN ROAD IN DIV 99, UNIT 21, ZONE 8",OWN SOURCES,8,2021-22,NA,Zonal
83,ELECTRICAL CREMETORIAM - ERECTION OF EQUIPMENTS,AWARDED,132,17.75," AVM BURIAL GROUND IN DIVISION -132,                   
 UNIT - 31,ZONE- 10","OPERATION AND MAINTENANCE OF GAS (LPG) CREMATORIUM AT AVM BURIAL GROUND IN DIVISION -132,UNIT - 31,ZONE- 10 (FOR 1 YEAR ONLY)  (FROM 01.07.2021 TO 30.06.2022)",REVENUE FUND,10,2021-22,NA,Zonal
84,SWM - PROJECTS - CAPITAL,TENDER CALLED,7,910,SATHANKADU ,"  SUPPLYING, INSTALLATION, TESTING AND COMMISSIONING OF SCIENTIFIC INCINERATOR AT A CAPACITY OF 100 MT PER DAY (SINGLE OR MULTIPLE UNITS) FOR NON RECYCLABLE DRY WASTE AT SATHANKADU ",SBM FUND,1,2021-22,NA,Zonal
86,OTHER BUILDING,AWARDED,119,4.7,T.T.K ROAD,"CONSTRUCTION OF NEW SUMP AND OTHER IMPROVEMENT WORK AT OLD AGE WOMENS HOME AT T.T.K ROAD IN DIVISION -119, UNIT-24, ZONE-09",OWN SOURCES,9,2021-22,NA,Zonal
93,FOOTPATH,WORK IN EXECUTION,173,2.91,"DR.D.G.S. DINAKARAN SALAI IN DIVISION 173 , ZONE -13","FORMING FOOTPATH AT DR.D.G.S. DINAKARAN SALAI IN DIVISION 173 , ZONE -13",TURIP FUND ,13,2021-22,NA,Zonal
94,OFFICE BUILDINGS,WORK IN EXECUTION,58,470,RIPON BUILDING CAMPUS,"COMMAND, CONTROL AND DISASTER RESPONSE CENTRE SMART GOVERNANCE CENTRE GREEN BUILDING INSIDE RIPON BUILDING CAMPUS DN. NO.58, ZONE 5",SMART CITY FUND,5,2021-22,NA,Zonal
96,SWM - PROJECTS - CAPITAL,WORK IN EXECUTION,7,60,SATHANKADU NEAR OLD WEIGHBRIDGE AT THIRUVOTTIYUR,INCINERATOR-5 TPD @ THIRUVOTTIYUR ,CSR FUND,1,2021-22,NA,Zonal
99,INTERIOR ROAD - BLACK TOP ROAD,WORK IN EXECUTION,99,8.45,AMMAN KOIL STREET NEAR THIRUMOOLAR COLONY ,"IMPROVEMENTS TO THE INTERIOR BT ROAD AT AMMAN KOIL STREET IN DIV 99, UNIT 21, ZONE 8",OWN SOURCES,8,2021-22,NA,Zonal
102,PARK FORMATION,WORK IN EXECUTION,180,985,FROM INDIRANAGAR MRTS TO THIRUVANMIYUR MRTS STATION,"CREATION OF LEISURE CYCLE TRACK WITH VIBRANT LANDSCAPE ALONG THE BANKS OF BUCKINGHAM CANAL FROM INDIRANAGAR MRTS TO THIRUVANMIYUR MRTS STATION, REACH II",TURIP FUND ,13,2021-22,NA,Zonal
105,PARK FORMATION,WORK IN EXECUTION,175,831,KASTURIBAI MRTS TO INDIRANAGAR MRTS STATION,"CREATION OF LEISURE CYCLE TRACK WITH VIBRANT LANDSCAPE ALONG THE BANKS OF BUCKINGHAM CANAL FROM KASTURIBAI MRTS TO INDIRANAGAR MRTS STATION, REACH I",TURIP FUND ,13,2021-22,NA,Zonal
107,HEALTH BUILDINGS,WORK IN EXECUTION,18,6.26,"MGR SALAI, MANALI, CHENNAI-600068.","IMPROVEMENT WORKS TO GASIFIER CREMATORIUM AT MGR SALAI IN DN-18, UNIT-5, ZONE-2.",CAPITAL WORKS,2,2021-22,NA,Zonal
108,PARK REJUVENATION,WORK IN EXECUTION,92,97.9,"MANGAL ERI, MUGAPPAIR WEST ","IMPROVEMENTS TO MANGAL ERI, MUGAPPAIR WEST ",OWN SOURCES,7,2021-22,NA,Zonal
109,PARK REJUVENATION,WORK IN EXECUTION,91,47.59,"ERI SCHEME 15TH CROSS STREET, MUGAPPAIR WEST","IMPROVEMENTS TO ERI SCHEME 15TH CROSS STREET, MUGAPPAIR WEST",OWN SOURCES,7,2021-22,NA,Zonal
110,OTHER BUILDING,WORK IN EXECUTION,18,2.76,"BHARATHIYAR STREET, MANALI, CHENNAI-600068.","IMPROVEMENT WORKS TO RESOURCE RECOVERY CENTRE AT BHARATHIYAR STREET IN DN-18, UNIT-5, ZONE-2.",CAPITAL WORKS,2,2021-22,NA,Zonal
112,SWM - PROJECTS - O AND M,WORK IN EXECUTION,18,49.33,"M.G.R SALAI, MANALI","O&M OF SCIENTIFIC INCINERATOR - 10TPD  FOR A PERIOD OF ONE YEAR AT MANALI, M.G.R SALAI",REVENUE FUND,2,2021-22,NA,Zonal
114,OTHER BUILDING,WORK IN EXECUTION,18,9.98,"BHARATHIYAR STREET, MANALI, CHENNAI-600068.","PROPOSED CONSTRUCTION OF GALVANISED IRON ROOFING SHED IN FRONT OF RESOURCE RECOVERY CENTRE AT BHARATHIYAR STREET IN DN-18, UNIT-5, ZONE-2.",CAPITAL WORKS,2,2021-22,NA,Zonal
116,OTHER BUILDING,WORK IN EXECUTION,18,8.41,"BHARATHIYAR STREET, MANALI, CHENNAI-600068.","PROPOSED CONSTRUCTION OF TOILET & PROVIDING WATER FACILITIES INSIDE RESOURCE RECOVERY CENTRE CAMPUS AT BHARATHIYAR STREET IN DN-18, UNIT-5, ZONE-2.",CAPITAL WORKS,2,2021-22,NA,Zonal
117,SCHOOL BUILDINGS,WORK IN EXECUTION,51,453,"CEMENTRY ROAD, TONDAIRPET","REFURBISHMENT OF CHENNAI PRIMARY SCHOOL AND CHENNAI HIGH SCHOOL AT MANIKANDAN STREET CEMETERY ROAD IN DN. 51, ZONE-5",LOANS AND GRANTS,5,2021-22,NA,Zonal
118,OTHER BUILDING,WORK IN EXECUTION,18,0.8,"NEDUNCHEZHIYAN STREET EXTN, MANALI, CHENNAI-600068.","IMPROVEMENT WORKS TO PUBLIC CONVENIENCE AT NEDUNCHEZHIYAN STREET EXTN. IN DN-18, UNIT-5, ZONE-2.",CAPITAL WORKS,2,2021-22,NA,Zonal
119,OTHER BUILDING,WORK IN EXECUTION,18,0.6,"HARIKRISHNAPURAM, MANALI, CHENNAI-600068.","IMPROVEMENT WORKS TO PUBLIC CONVENIENCE AT HARIKRISHNAPURAM IN DN-18, UNIT-5, ZONE-2.",CAPITAL WORKS,2,2021-22,NA,Zonal
120,OTHER BUILDING,WORK IN EXECUTION,18,1.88,"BHARATHIYAR STREET, MANALI, CHENNAI-600068.","IMPROVEMENT WORKS TO PUBLIC CONVENIENCE AT BHARATHIYAR STREET IN DN-18, UNIT-5, ZONE-2.",CAPITAL WORKS,2,2021-22,NA,Zonal
121,SWM - PROJECTS - O AND M,WORK IN EXECUTION,29,164,"CHINNASEKKADU, MADAVARAM","O & M OF WINDROW COMPOSTING PROCESSING FACILITY-I -     
50 TPD AT MADAVARAM FOR A PERIOD OF ONE YEAR",REVENUE FUND,3,2021-22,NA,Zonal
122,OTHER BUILDING,WORK IN EXECUTION,18,0.76,"TPP SALAI, MANALI, CHENNAI-600068.","IMPROVEMENT WORKS TO PUBLIC CONVENIENCE AT TPP SALAI IN DN-18, UNIT-5, ZONE-2.",CAPITAL WORKS,2,2021-22,NA,Zonal
123,PARK FORMATION,WORK IN EXECUTION,143,195.4,SAKTHI NAGAR MAIN ROAD ,CREATION OF SENSORY PARK FOR DISABLED CHILDREN AT SAKTHI NAGAR MAIN ROAD ,OWN SOURCES,11,2021-22,NA,Zonal
133,INTERIOR ROAD - BLACK TOP ROAD,WORK IN EXECUTION,18,2.83,"EDAPALAYAM STREET, MANALI, CHENNAI-600068.","RELAYING OF BT ROAD AT EDAPALAYAM STREET (FROM AMMA UNAVAGAM TO EKAMBARAM STREET JUNC) IN DN-18, U-5, Z-2.",CAPITAL WORKS,2,2021-22,NA,Zonal
135,INTERIOR ROAD - BLACK TOP ROAD,WORK IN EXECUTION,186,6.99,THIRUMALAI NAGAR ANEX  1ST CROSS STREET,B T ROAD - ROAD CUT RESTORATION WITH RELAYING IN THIRUMALAI NAGAR ANEX  1ST CROSS STREET,GOVT. GRANT(PART-2 SCHEME),14,2021-22,NA,Zonal
142,SWM - PROJECTS - CAPITAL,WORK IN EXECUTION,29,933,MADHAVARAM,PROCESSING THE WET WASTE AND CONVERT IT TO BIO-CNG (100MT CAPACITY PER DAY) AT MADHAVARAM ,DBFOT - PPP MODE,3,2021-22,NA,Zonal
144,OTHER BUILDING,WORK IN EXECUTION,19,2,PONNIAMMAN KOIL STREET ,IMPROVEMENTS WORK AT PONNIAMMAN KOIL STREET ,CAPITAL WORKS,2,2021-22,NA,Zonal
149,SWM - PROJECTS - CAPITAL,WORK IN EXECUTION,29,906,"CHINNASEKKADU,MADAVARAM",PLASTIC WASTE TO FUEL OIL PLANT AT MADHAVARAM,DBFOT - PPP MODE,3,2021-22,NA,Zonal
154,OTHER BUILDING,WORK IN EXECUTION,21,5.3,"SABAPATHY STREET,MANALI,CHENNAI-68",PROPOSED CONSTRUCTION OF MCC POINT INSIDE OF RRC SHED AT SABAPATHY STREET IN DN-21,CAPITAL WORKS,2,2021-22,NA,Zonal
157,OTHER BUILDING,WORK IN EXECUTION,21,3.9,"SABAPATHY STREET,MANALI,CHENNAI-68",REPAIR AND MAINTENANCE TO RRC AT SABAPATHY STREET IN DN-21.,CAPITAL WORKS,2,2021-22,NA,Zonal
158,OTHER BUILDING,WORK IN EXECUTION,19,9,KOSAPUR MANJAMBAKKAM,PROPOSED CONSTRUCTION OF MCC POINT  IN DN19 U-5 S-2,OWN SOURCES,2,2021-22,NA,Zonal
159,OTHER BUILDING,WORK IN EXECUTION,19,8,ARULANDHA NAGAR ,PROPOSED CONSTRUCTION OF STOCK ROOM IN DN19 U5 Z2,OWN SOURCES,2,2021-22,NA,Zonal
161,OTHER BUILDING,WORK IN EXECUTION,21,3.9,"SABAPATHY STREET,MANALI,CHENNAI-68",REPAIR AND MAINTENANCE TO RRC AT SABAPATHY STREET IN DN-21.,CAPITAL WORKS,2,2021-22,NA,Zonal
163,OTHER BUILDING,WORK IN EXECUTION,21,2.58,NEDUNCHEZHIYAN STREET MANALI BUS STAND,IMPROVEMENT WORKS TO PUBLIC CONVENIENCE AT NEDUNCHEZHIYAN STREET IN DN-21.,CAPITAL WORKS,2,2021-22,NA,Zonal
168,SWM - PROJECTS - CAPITAL,WORK IN EXECUTION,186,29734,PERUNGUDI DUMPING GROUND,BIO-MINING AT PERUNGUDI DUMPING GROUND IN Z-14  (PACKAGE-1-5),SBM FUND,14,2021-22,NA,Zonal
169,SWM - PROJECTS - CAPITAL,WORK IN EXECUTION,186,7674,PERUNGUDI DUMPING GROUND (INTERIM LAND FILL-ILF),BIO-MINING AT PERUNGUDI DUMPING GROUND - PACKAGE-6 IN Z-14 (INTERIM LAND FILL) ,SBM FUND,14,2021-22,NA,Zonal
172,BRIDGE,AWARDED,17,99999,SDFASDFDF,ASDASDAS,CAPITAL GRANT FUND (CGF),2,2021-22,NA,Zonal
175,SWM - PROJECTS - CAPITAL,TENDER CALLED,186,910,PERUNGUDI DUMPING GROUND,"SUPPLYING, INSTALLATION, TESTING AND COMMISSIONING OF SCIENTIFIC INCINERATOR AT A CAPACITY OF 100 MT PER DAY (SINGLE OR MULTIPLE UNITS) FOR NON RECYCLABLE DRY WASTE AT PERUNGUDI DUMPING GROUND IN ZONE XIV",SBM FUND,14,2021-22,NA,Zonal
177,BRIDGE,WORK IN EXECUTION,17,1933, BRIDGE ACROSS PUZHAL SURPLUS WATER CANAL AT VADAPERUMBAKKAM,"CONSTRUCTION OF BRIDGE ACROSS PUZHAL SURPLUS WATER CANAL AT VADAPERUMBAKKAM 

",CHENNAI MEGA CITY DEVELOPMENT MISSION (CMCDM),2,2021-22,NA,Zonal
179,BRIDGE,WORK IN EXECUTION,18,1590,BRIDGE ACROSS PUZHAL SURPLUS WATER CANAL AT AMULLAVOYAL ,CONSTRUCTION OF BRIDGE ACROSS PUZHAL SURPLUS WATER CANAL AT AMULLAVOYAL ,CHENNAI MEGA CITY DEVELOPMENT MISSION (CMCDM),2,2021-22,NA,Zonal
180,OTHER BUILDING,WORK IN EXECUTION,160,5.51,MARGOUS STREET,"IMPROVEMENT WORKS TO EXISTING MULTIPURPOSE HALL. MARGOUS STREET
",CAPITAL WORKS,12,2021-22,NA,Zonal
183,SKYWALK,WORK IN EXECUTION,136,2845,SKYWALK WITH ESCALATORS FROM MAMBALAM RAILWAY STATION TO T. NAGAR BUS TERMINUS. ,CONSTRUCTION OF SKYWALK WITH ESCALATORS FROM MAMBALAM RAILWAY STATION TO T. NAGAR BUS TERMINUS. ,SMART CITY FUND,10,2021-22,NA,Zonal
185,PARK REJUVENATION,WORK IN EXECUTION,176,5.34,PADMANABHA NAGAR PARK,ANNUAL MAINTENANCE OF PARK,REVENUE FUND,13,2021-22,NA,Zonal
187,PARK REJUVENATION,WORK IN EXECUTION,176,8.88,AAVIN PARK(DR MUTHULAKSHMI PARK),ANNUAL MAINTENANCE OF PARK,REVENUE FUND,13,2021-22,NA,Zonal
188,PARK REJUVENATION,WORK IN EXECUTION,181,5.6,M.G.R ROAD,ANNUAL MAINTENANCE OF PARK,REVENUE FUND,13,2021-22,NA,Zonal
189,PARK REJUVENATION,WORK IN EXECUTION,181,2.66,TIGER VARATHACHARI PARK,ANNUAL MAINTENANCE OF PARK,REVENUE FUND,13,2021-22,NA,Zonal
190,PARK REJUVENATION,WORK IN EXECUTION,181,3.01,CGE COLONY,ANNUAL MAINTENANCE OF PARK,REVENUE FUND,13,2021-22,NA,Zonal
192,PARK REJUVENATION,WORK IN EXECUTION,181,2.75,YAMUNA STREET PARK,ANNUAL MAINTENANCE OF PARK,REVENUE FUND,13,2021-22,NA,Zonal
