வார்டூ எண்‌: ,Name ,பாலினம்‌,கட்சியின் பெயர்,Party Name ,பெற்ற வாக்குகள்,சதவிதம் (%),முடிவு,வருடம்,,
12,வெங்கடகிருஷ்ணன் வி ,ஆண்,பாரதிய ஜனதா கட்சி ,BJP ,185 ,2.22,வைப்புத்தொகை இழப்பு,2011,,
12,சுரேஷ் எஸ் ,ஆண்,தேசிய முற்போக்கு திராவிட கழகம் ,DMDK ,650 ,7.79,வைப்புத்தொகை இழப்பு,2011,,
12,உறரிதாஸ் ஜி ,ஆண்,இந்திய தேசிய காங்கிரஸ் ,INC ,776 ,9.30,வைப்புத்தொகை இழப்பு,2011,,
12,நாகராஜ் எம் ,ஆண்,சுயேச்சை வேட்பாளர் ,Independent ,850 ,10.19,வைப்புத்தொகை இழப்பு,2011,,
12,விசுவநாதன் தி.வ ,ஆண்,திராவிட முன்னேற்றக் கழகம் ,DMK ,2507 ,30.06,தோல்வி,2011,,
12,தன்ராஜ் ஆர்.வி ,ஆண்,அனைத்திந்திய அண்ணா திராவிட முன்னேற்றக் கழகம் ,AIADMK ,3154 ,37.82,வெற்றி,2011,,
13,ஆனந்தவேலு டி ,ஆண்,பாட்டாளி மக்கள் கட்சி ,PMK ,140 ,1.71,வைப்புத்தொகை இழப்பு,2011,,
13,சிவபாலன் என் ,ஆண்,இந்திய தேசிய காங்கிரஸ் ,INC ,158 ,1.93,வைப்புத்தொகை இழப்பு,2011,,
13,குணசேகரன் எஸ் ,ஆண்,சுயேச்சை வேட்பாளர் ,Independent ,272 ,3.33,வைப்புத்தொகை இழப்பு,2011,,
13,சுதாகர் கே ,ஆண்,மறுமலர்ச்சி திராவிட முன்னேற்றக் கழகம்,MDMK ,310 ,3.79,வைப்புத்தொகை இழப்பு,2011,,
13,துரைராஜ் ஆர் ,ஆண்,தேசிய முற்போக்கு திராவிட கழகம் ,DMDK ,457 ,5.59,வைப்புத்தொகை இழப்பு,2011,,
13,கதிர்வேலு எஸ் ,ஆண்,சுயேச்சை வேட்பாளர் ,Independent ,511 ,6.25,வைப்புத்தொகை இழப்பு,2011,,
13,சித்தானந்தம் பெ ,ஆண்,திராவிட முன்னேற்றக் கழகம் ,DMK ,2905 ,35.55,தோல்வி,2011,,
13,பிராபகரன் எம் ,ஆண்,அனைத்திந்திய அண்ணா திராவிட முன்னேற்றக் கழகம் ,AIADMK ,3419 ,41.84,வெற்றி,2011,,
14,குப்புலட்சுமி அ ,பெண்,சுயேச்சை வேட்பாளர் ,Independent ,16 ,0.19,வைப்புத்தொகை இழப்பு,2011,,
14,பிரபாவதி ரா ,பெண்,சுயேச்சை வேட்பாளர் ,Independent ,73 ,0.84,வைப்புத்தொகை இழப்பு,2011,,
14,சர்மி எஸ் ,பெண்,மறுமலர்ச்சி திராவிட முன்னேற்றக் கழகம்,MDMK ,241 ,2.79,வைப்புத்தொகை இழப்பு,2011,,
14,கற்பகம் ஆ ,பெண்,சுயேச்சை வேட்பாளர் ,Independent ,358 ,4.14,வைப்புத்தொகை இழப்பு,2011,,
14,ஷகிலா ஜெ ,பெண்,Others ,Others ,477 ,5.52,வைப்புத்தொகை இழப்பு,2011,,
14,நிர்மாலா எஸ் ,பெண்,இந்திய தேசிய காங்கிரஸ் ,INC ,607 ,7.02,வைப்புத்தொகை இழப்பு,2011,,
14,அம்சாபாய் வ ,பெண்,இந்தியப் பொதுவுடமைக் கட்சி (மார்க்சிஸ்ட்) ,CPI(M) ,654 ,7.57,வைப்புத்தொகை இழப்பு,2011,,
14,திரிபுரசுந்தரி ஆர் ,பெண்,சுயேச்சை வேட்பாளர் ,Independent ,966 ,11.18,வைப்புத்தொகை இழப்பு,2011,,
14,பானுமதி சு ,பெண்,திராவிட முன்னேற்றக் கழகம் ,DMK ,2575 ,29.79,தோல்வி,2011,,
14,பேரரசி ச ,பெண்,அனைத்திந்திய அண்ணா திராவிட முன்னேற்றக் கழகம் ,AIADMK ,2677 ,30.97,வெற்றி,2011,,
15,கோகிலா ரு ,பெண்,சுயேச்சை வேட்பாளர் ,Independent ,44 ,0.75,வைப்புத்தொகை இழப்பு,2011,,
15,சலோமி ஆல்பர்ட் ஆ ,பெண்,இந்திய தேசிய காங்கிரஸ் ,INC ,87 ,1.49,வைப்புத்தொகை இழப்பு,2011,,
15,பட்டம்மாள் சே ,பெண்,தேசிய முற்போக்கு திராவிட கழகம் ,DMDK ,107 ,1.83,வைப்புத்தொகை இழப்பு,2011,,
15,மாரியம்மாள் சி ,பெண்,மறுமலர்ச்சி திராவிட முன்னேற்றக் கழகம்,MDMK ,564 ,9.66,வைப்புத்தொகை இழப்பு,2011,,
15,ராஜேஸ்வரி வி ,பெண்,அனைத்திந்திய அண்ணா திராவிட முன்னேற்றக் கழகம் ,AIADMK ,755 ,12.93,வைப்புத்தொகை இழப்பு,2011,,
15,விஜயலட்சுமி வி ,பெண்,திராவிட முன்னேற்றக் கழகம் ,DMK ,851 ,14.57,வைப்புத்தொகை இழப்பு,2011,,
15,ஜோதி ர ,பெண்,சுயேச்சை வேட்பாளர் ,Independent ,1667 ,28.55,தோல்வி,2011,,
15,வனிதா கு ,பெண்,பாட்டாளி மக்கள் கட்சி ,PMK ,1764 ,30.21,வெற்றி,2011,,
16,சத்யா பா த ,ஆண்,மறுமலர்ச்சி திராவிட முன்னேற்றக் கழகம்,MDMK ,43 ,0.77,வைப்புத்தொகை இழப்பு,2011,,
16,ராஜேஸ்வரி ச ,பெண்,சுயேச்சை வேட்பாளர் ,Independent ,51 ,0.92,வைப்புத்தொகை இழப்பு,2011,,
16,தனசேகரன் எ ,ஆண்,தேசிய முற்போக்கு திராவிட கழகம் ,DMDK ,86 ,1.55,வைப்புத்தொகை இழப்பு,2011,,
16,கோபி ப ,ஆண்,சுயேச்சை வேட்பாளர் ,Independent ,146 ,2.63,வைப்புத்தொகை இழப்பு,2011,,
16,ஜோதிகுமார் ரா ,ஆண்,இந்திய தேசிய காங்கிரஸ் ,INC ,416 ,7.48,வைப்புத்தொகை இழப்பு,2011,,
16,ராஜேந்திரன் ஆ ,ஆண்,சுயேச்சை வேட்பாளர் ,Independent ,569 ,10.23,வைப்புத்தொகை இழப்பு,2011,,
16,ஆதிமூலம் இரா ,ஆண்,பாட்டாளி மக்கள் கட்சி ,PMK ,958 ,17.23,தோல்வி,2011,,
16,கண்ணப்பன் ஏ ,ஆண்,திராவிட முன்னேற்றக் கழகம் ,DMK ,1482 ,26.65,தோல்வி,2011,,
16,தங்கசிவம் கு ,ஆண்,அனைத்திந்திய அண்ணா திராவிட முன்னேற்றக் கழகம் ,AIADMK ,1809 ,32.54,வெற்றி,2011,,
17,ரதியா ஜெ ,பெண்,அனைத்திந்திய அண்ணா திராவிட முன்னேற்றக் கழகம் ,AIADMK ,1210 ,41.84,தோல்வி,2011,,
17,கவிதா நா ,பெண்,திராவிட முன்னேற்றக் கழகம் ,DMK ,1682 ,58.16,வெற்றி,2011,,
18,பட்டாபிராமன் டி ,ஆண்,இந்திய தேசிய காங்கிரஸ் ,INC ,375 ,6.75,வைப்புத்தொகை இழப்பு,2011,,
18,இளையராஜா வி ,ஆண்,சுயேச்சை வேட்பாளர் ,Independent ,987 ,17.77,தோல்வி,2011,,
18,ஆரோக்கியராஜ் ஜெ ,ஆண்,தேசிய முற்போக்கு திராவிட கழகம் ,DMDK ,1060 ,19.08,தோல்வி,2011,,
18,சங்கர் த ,ஆண்,அனைத்திந்திய அண்ணா திராவிட முன்னேற்றக் கழகம் ,AIADMK ,1465 ,26.37,தோல்வி,2011,,
18,துரை து ,ஆண்,திராவிட முன்னேற்றக் கழகம் ,DMK ,1668 ,30.03,வெற்றி,2011,,
19,மாரிமுத்து க ,ஆண்,சுயேச்சை வேட்பாளர் ,Independent ,48 ,0.49,வைப்புத்தொகை இழப்பு,2011,,
19,தேவராஜ் ரா ,ஆண்,பாட்டாளி மக்கள் கட்சி ,PMK ,206 ,2.12,வைப்புத்தொகை இழப்பு,2011,,
19,சாமுண்டீஸ்வரி அ ,பெண்,சுயேச்சை வேட்பாளர் ,Independent ,227 ,2.34,வைப்புத்தொகை இழப்பு,2011,,
19,ராஜீவ் ஆ ,ஆண்,மறுமலர்ச்சி திராவிட முன்னேற்றக் கழகம்,MDMK ,348 ,3.58,வைப்புத்தொகை இழப்பு,2011,,
19,இராஜவர்மன் இரா ,ஆண்,இந்தியப் பொதுவுடமைக் கட்சி (மார்க்சிஸ்ட்) ,CPI(M) ,593 ,6.11,வைப்புத்தொகை இழப்பு,2011,,
19,மாரிமுத்து வே ,ஆண்,இந்திய தேசிய காங்கிரஸ் ,INC ,1134 ,11.68,வைப்புத்தொகை இழப்பு,2011,,
19,துக்காரம் க ,ஆண்,திராவிட முன்னேற்றக் கழகம் ,DMK ,2616 ,26.94,தோல்வி,2011,,
19,பார்த்திபன் கோ ,ஆண்,அனைத்திந்திய அண்ணா திராவிட முன்னேற்றக் கழகம் ,AIADMK ,4538 ,46.74,வெற்றி,2011,,
20,சந்திரன் அ ,ஆண்,சுயேச்சை வேட்பாளர் ,Independent ,14 ,0.29,வைப்புத்தொகை இழப்பு,2011,,
20,தேவேந்திரன் அ ,ஆண்,சுயேச்சை வேட்பாளர் ,Independent ,26 ,0.54,வைப்புத்தொகை இழப்பு,2011,,
20,ரெங்கராஜ் பா ,ஆண்,மறுமலர்ச்சி திராவிட முன்னேற்றக் கழகம்,MDMK ,52 ,1.09,வைப்புத்தொகை இழப்பு,2011,,
20,மூர்த்தி மு ,ஆண்,பாட்டாளி மக்கள் கட்சி ,PMK ,97 ,2.03,வைப்புத்தொகை இழப்பு,2011,,
20,விஜயகுமார் ஜெ ,ஆண்,சுயேச்சை வேட்பாளர் ,Independent ,114 ,2.39,வைப்புத்தொகை இழப்பு,2011,,
20,சந்திரன் கே சி ,ஆண்,அனைத்திந்திய அண்ணா திராவிட முன்னேற்றக் கழகம் ,AIADMK ,955 ,19.99,தோல்வி,2011,,
20,தங்கம் ஆ ,ஆண்,இந்திய தேசிய காங்கிரஸ் ,INC ,1003 ,21.00,தோல்வி,2011,,
20,ராமமூர்த்தி கோ ,ஆண்,திராவிட முன்னேற்றக் கழகம் ,DMK ,1016 ,21.27,தோல்வி,2011,,
20,ஆறுமுகம் ஏ வ ,ஆண்,தேசிய முற்போக்கு திராவிட கழகம் ,DMDK ,1500 ,31.40,வெற்றி,2011,,
21,சம்பத்குமார் நா ,ஆண்,விடுதலைச் சிறுத்தைகள் கட்சி ,VCK ,42 ,0.95,வைப்புத்தொகை இழப்பு,2011,,
21,கிருபானந்தம் த ,ஆண்,மறுமலர்ச்சி திராவிட முன்னேற்றக் கழகம்,MDMK ,97 ,2.18,வைப்புத்தொகை இழப்பு,2011,,
21,மதியழகன் க ,ஆண்,சுயேச்சை வேட்பாளர் ,Independent ,125 ,2.81,வைப்புத்தொகை இழப்பு,2011,,
21,தேவன் பொ ,ஆண்,இந்தியப் பொதுவுடமைக் கட்சி (மார்க்சிஸ்ட்) ,CPI(M) ,162 ,3.65,வைப்புத்தொகை இழப்பு,2011,,
21,முத்துசாமி வ ,ஆண்,திராவிட முன்னேற்றக் கழகம் ,DMK ,1785 ,40.19,தோல்வி,2011,,
21,ஞானசேகர் ரா ,ஆண்,அனைத்திந்திய அண்ணா திராவிட முன்னேற்றக் கழகம் ,AIADMK ,2230 ,50.21,வெற்றி,2011,,
22,கீதா டி ,பெண்,சுயேச்சை வேட்பாளர் ,Independent ,321 ,3.79,வைப்புத்தொகை இழப்பு,2011,,
