Lat,Lon,Title,Unique ID.,Name of State/UT,District(s),Place,Disease/Illness,Cases,Deaths,Date of outbreak,Date of reporting,Status,Title1,Case report/news,Reporting delay,Week,Year
23.326809,77.784920,Raisen Madhya Pradesh,MP/BPL/2018/44/1434,Madhya Pradesh,Raisen,Raisen Madhya Pradesh,Zika,2,0,27-10-2018,01-11-2018,Under Control,,"Cases of Zika virus disease were reported from multiple districts of Madhya Pradesh i.e. Bhopal (53), Vidhisha (50), Sehore (21), Sagar (2), Hoshangabad (2), Raisen (1), Narsinghpur (1). Central level, State level and District level RRT were constituted to investigate the outbreak. House to house fever survey was initiated around the affected areas. Fogging, larval control and personal protective measures were initiated in the area. A total of 486 blood samples were collected and tested at AIIMS Bhopal of which 130 were found positive by RT-PCR. A 18 year old male tested positive for Zika and died of coinfection with Dengue and JE, similarly another women of 23 years tested positive and died of multiorgan failure.",5,43,2018
22.9467047,79.1980228,Narsinghpur Madhya Pradesh,MP/BPL/2018/44/1434,Madhya Pradesh,Narsinghpur,Narsinghpur Madhya Pradesh,Zika,1,0,27-10-2018,01-11-2018,Under Control,,"Cases of Zika virus disease were reported from multiple districts of Madhya Pradesh i.e. Bhopal (53), Vidhisha (50), Sehore (21), Sagar (2), Hoshangabad (2), Raisen (1), Narsinghpur (1). Central level, State level and District level RRT were constituted to investigate the outbreak. House to house fever survey was initiated around the affected areas. Fogging, larval control and personal protective measures were initiated in the area. A total of 486 blood samples were collected and tested at AIIMS Bhopal of which 130 were found positive by RT-PCR. A 18 year old male tested positive for Zika and died of coinfection with Dengue and JE, similarly another women of 23 years tested positive and died of multiorgan failure.",5,43,2018
8.5241122,76.9360573,Trivandrum Kerala,KL/THI/2021/20/0187,Kerala,Trivandrum,Trivandrum Kerala,Zika,65,0,15-05-2021,20-05-2021,Under Surveillance,,"Cases reported from Village Anayara, HSC Poonthura, PHC Kadakampalli, Block KIMS Hospital Trivandrum. Blood samples were collected and sent for lab analysis and they tested positive for Zika virus by PCR technique. District RRT investigated the outbreak. Health Education was given.",5,19,2021
8.5241122,76.9360573,Trivandrum Kerala,KL/THI/2021/28/0307,Kerala,Trivandrum,Trivandrum Kerala,Zika,17,0,07-07-2021,,Under Surveillance,,"Cases reported from Karamana (Ward No:-45); Fort (Ward No:-80); Kollayil; Sasthamangalam (Ward No:-22) Balaramapuram; Kadakampally (Ward No:- 92), Kunnukuzhy (Ward No:- 26), Pattom (Ward No:- 17). 165 samples (Serum, EDTA blood, Urine) collected and sent for testing to Thiruvananthapuram Medical College out of which 15 were found to be positive for Zika by IgM ELISA.Training and updates given to Zika Control Cell and call centres under guidance of TA I and II. District RRT investigated the outbreak. Health education was given.",,27,2021
9.98408,76.2741457,Ernakulam Kerala,KL/ERN/2021/29/0323,Kerala,Ernakulam,Ernakulam Kerala,Zika,1,0,14-07-2021,,Under Control,,"Case reported from Malayidamthuruth, Vazhakkulam, Ward 18. Case presented with mild fever, myalgia, rash, itching and mild conjunctivitis. One blood sample was collected and sent to NIV Alleppey for further laboratory analysis, the sample tested positive for Zika by PCR test. District RRT investigated the outbreak. Health education was given.",,28,2021
9.98408,76.2741457,Ernakulam Kerala,,Kerala,Ernakulam,Ernakulam Kerala,Zika,1,0,24-07-2021,02-08-2021,Under Control,,"Case reported from Malayidamthuruth, THQH Perumbavur, District-Ernakulam. Case presented with fever, head ache and rashes. One blood sample sent to NIV Alleppey for further lab analysis, the sample tested positive for Zika virus PCR. District RRT investigated the outbreak. Health education was given.",9,29,2021
26.4609135,80.3217588,Kanpur Uttar Pradesh,UP/KNU/2021/46/0655,Uttar Pradesh,Kanpur,Kanpur Uttar Pradesh,Zika,142,0,23-10-2021,15-11-2021,Under Surveillance,,"Cases reported from Village Air Force Station, Pokharpur, Aadarsh Nagar, Tiwaripur, Harjendar Nagar, Cantt, Faithful Ganj, Shyam Nagar, District Kanpur. Cases presented with fever and bodyache. 5592 blood samples were collected and sent to KGMU, Lucknow. Of these, 142 samples were found positive for Zika virus by IgM ELISA. District RRT investigated the outbreak. Anti-larval spray was used and fogging done. Health education was given regarding importance of vector control measures.",23,42,2021
26.9996974,79.6886121,Kannauj Uttar Pradesh,UP/KAJ/2021/45/0633,Uttar Pradesh,Kannauj,Kannauj Uttar Pradesh,Zika,1,0,10-11-2021,10-11-2021,Under Surveillance,,"Cases reported from Village Kapoorapur, CHC/Block/District Kannauj. District RRT investigated the outbreak. One urine sample was sent to KGMU, Lucknow and was found positive for Zika virus by IgM ELISA. 397 blood samples were collected and sent to Virology Lab, KGMU Lucknow following surveillance. Anti-larval spray was used and fogging done. Health education was given regarding importance of vector control measures.",0,45,2021
26.8420098,80.9478571,Lucknow Uttar Pradesh,UP/LKW/2021/45/0634,Uttar Pradesh,Lucknow,Lucknow Uttar Pradesh,Zika,6,0,11-11-2021,12-11-2021,Under Surveillance,,"Cases reported from Village Phoolbagh, UCHC Redcross, Sambalkhed near Phoenix Mall, Alambagh, Tola Mandir, Lalkuan, Sec F LDA Colony, LKW .5. Azad Nagar, District Lucknow. Six blood & six urine samples were collected and Virology Lab in KGMU, Lucknow. Of these, one urine sample was found positive for Zika virus. District RRT investigated the case. Health education was given.",1,45,2021
25.8435395,80.918004,Fatehpur Uttar Pradesh,UP/FAT/2021/47/0671,Uttar Pradesh,Fatehpur,Fatehpur Uttar Pradesh,Zika,1,0,25-11-2021,26-11-2021,Under Control,,"Case reported from Village Trilokipur Fatehpur, PHC/Block Teliyani, District Fatehpur. 86 Serum and urine samples were sent to KGMU Lucknow, all were found to be negative. One sample was found positive for Zika virus by RT PCR test. District RRT investigated the outbreak. Health education was given.",1,47,2021
23.0216238,72.5797068,Ahmedabad Gujarat,4073,Gujarat,Ahmedabad,Ahmedabad Gujarat,Zika,3,0,28-05-2017,29-05-2017,"Information communicated to DSU-Ahmedabad, SSU-Gujarat",,"Zika virus disease has reached India, with the World Health Organisation (WHO) confirming first three cases in Gujarat's Ahmedabad. The WHO endorsed the findings of laboratory tests conducted in the country, saying all three cases, including that of a pregnanat woman, were reported from Bapunagar area of the city. The disease is spread by daytime-active Aedes mosquitoes and an infection during pregnancy can cause birth defects in newborns known as microcephaly — a condition in which babies' head is abnormally small. It is characterised by brain damage and may cause other defects like blindness, deafness, and even seizures. ",1,21,2017
12.5188835,78.2206536,Krishnagiri Tamil Nadu,4167,Tamil Nadu,Krishnagiri,Krishnagiri Tamil Nadu,Zika,1,0,11-07-2017,11-07-2017,Information communicated to SSU- Tamil Nadu,,"Tamil Nadu has reported its first case of Zika virus in a 27-year-old man from a village in Krishnagiri district. The case was diagnosed on July 1 and the man, who was treated as an outpatient, is reported to have recovered completely. In May this year, the World Health Organisation confirmed the first cases of Zika in the country — three cases had been detected in Ahmedabad, Gujarat in January. The patient, from N. Puttur, Natrampalayam Panchayat, Denkanikottai Taluk, had fever, redness of the eyes, headache, photophobia and weakness among other symptoms, and had gone to the Anchetty primary health centre on June 28, where he was treated with paracetamol. When he came in again the following day, blood, urine and throat samples were collected and sent to the Manipal Centre for Virus Research. When all routine tests including dengue, chikungunya, leptospirosis, malaria, scrub typhus and influenza came out negative, the centre did an RT-PCR test for Zika and found it to be positive. Subsequent tests at the National Institute of Virology, Pune, too found the urine sample positive for Zika. Control measures were taken to prevent the spread of the virus and expanded to the whole block, Health Secretary J. Radhakrishnan told the media at a presser he jointly addressed with Health Minister C. Vijaya Baskar.",0,28,2017
26.9154576,75.8189817,Jaipur Rajasthan,4910,Rajasthan,Jaipur,Jaipur Rajasthan,Zika,1,0,24-09-2018,24-09-2018,"Information communicated to DSU-Jaipur, SSU-Rajasthan",,"An elderly woman from Jaipur was tested positive for Zika virus infection, officials of a medical college here said, adding it is a first such case in the state. The woman was admitted to Sawai Man Singh (SMS) Hospital on September 11 with joint pain, redness in eyes, and weakness. She was tested negative for dengue and swine flu. On suspicion, samples were sent to National Institute of Virology (NIV), Pune, to test for Zika virus and the report was positive, Dr U S Agrawal, principal of the SMS medical college said on Sunday. “I believe this is the first case of Zika virus in the state,” he said. The woman, a resident of Shastri Nagar area here, was discharged a few days back after she was feeling better, Agrawal said. The hospital administration has alerted the state Health Department, he said.",0,39,2018
23.2584857,77.401989,Bhopal Madhya Pradesh,5015,Madhya Pradesh,Bhopal,Bhopal Madhya Pradesh,Zika,1,,07-11-2018,08-11-2018,"Information communicated to DSU- Bhopal, SSU-Madhya Pradesh",,"अ म(cid:218)य (cid:292)देश म(cid:581) जीका के एक सं(cid:465)द(cid:202)ध मर(cid:547)ज क(cid:551) मौत का मामला सामने आया है। जीका से (cid:292)देश म(cid:581) यह पहल(cid:547) मौत है। (cid:232)वा(cid:232)(cid:216)य (cid:874)वभाग के अ(cid:876)धका(cid:464)रय(cid:585) के मुता(cid:466)बक मर(cid:547)ज को जीका के अलावा जैपनीज इंसेफे लाइ(cid:465)टस (जापानी बुखार) भी था। िजससे रोग (cid:292)(cid:467)तरोधक (cid:162)मता अ(cid:215)य(cid:876)धक कम होने के कारण उसक(cid:551) मौत हो गई। ए(cid:224)स भोपाल म(cid:581) जीका क(cid:551) (cid:292)ारं(cid:871)भक पुि(cid:231)ट के बाद मर(cid:547)ज का स(cid:583)पल अं(cid:467)तम पुि(cid:231)ट के (cid:871)लए नेशनल इ ं(cid:232)ट(cid:547)(cid:618)यूट ऑफ वायरोलॉजी (एनआईवी) पुणे भेजा गया है। (cid:876)धका(cid:464)रय(cid:585) के मुता(cid:466)बक कोलार (cid:467)नवासी 20 वष(cid:568)य एक युवक को माता मं(cid:465)दर के पास एक (cid:467)नजी अ(cid:232)पताल म(cid:581) चार (cid:465)दन पहले भत(cid:568) (cid:873)कया गया था। तब से उसका इलाज इसी अ(cid:232)पताल म(cid:581) चल रहा था। जीका के ल(cid:162)ण पाए जाने पर तीन (cid:465)दन पहले ए(cid:224)स म(cid:581) जांच के (cid:871)लए स(cid:583)पल भेज गए थे, जहां (cid:464)रपोट(cid:91) म(cid:581) जीका क(cid:551) पुि(cid:231)ट हु ई थी। इलाज के दौरान मंगलवार को उ(cid:200)त युवक क(cid:551) मौत हो गई।",1,45,2018
23.2584857,77.401989,Bhopal Madhya Pradesh,5002,Madhya Pradesh,Bhopal,Bhopal Madhya Pradesh,Zika,1,,01-11-2018,02-11-2018,Information communicated to SSU-Madhya Pradesh,,"First ever cases of Zika fever, an illness caused by a mosquitoborne virus, have been reported in Madhya Pradesh. Three people tested positive for Zika virus in Sehore, Bhopal and Vidisha at viral research and diagnostic laboratories (VRDL) of AIIMS Bhopal, said sources. To confirm and verify reports of Zika positivity in MP, samples have also been sent to national institute of virology, Pune, a top official of MP health department said. ondition of the patient diagnosed with Zika is being guarded. Sources said that AIIMS Bhopal, VRDL directly reported positive diagnosis of Zika to union health ministry. MP state health department official claimed ‘they were intimated later’. On Thursday, for the second day in continuity, MP health department officials held emergency meeting with their union government counterparts. A team headed by National Vector Borne Disease Control Programme, joint director Dr Kalpana Baruah and experts from the national centre for disease control arrived in Bhopal. As per protocols under international health regulations (2005) an emergency committee on Zika virus has been formed to observe increase in neurological disorders and neonatal malformations. Besides Sehore, Bhopal and Vidisha, the team",1,44,2018
24.5860172,86.8447351,Jaipur Bihar,4957,Bihar,Jaipur,Jaipur Bihar,Zika,1,,07-10-2018,08-10-2018,Information communicated to SSU-Bihar,,"The Centre on Sunday sounded an alert for Bihar after a man from Siwan, studying in Jaipur, tested positive for the extremely rare Zika virus.Pankaj Chourasia, 22, a student of computer science, tested positive for the Zika virus in Jaipur recently. He was in Siwan between August 28 and September 12 to appear for an exam. “The central surveillance unit of the ministry of health and family welfare notified us today about the Zika-positive patient who had visited Bihar,” said state epidemiologist Dr Ragini Mishra of the State Health Society, Bihar. Based on the Centre’s alert, the Bihar health department immediately dispatched a team to Siwan on Sunday to take all eight family members of Chourasia under surveillance, she added. “None of Chourasia’s family members showed symptoms of the Zika virus. However, we are careful as one of the family members is pregnant. Zika can be passed from a pregnant woman to her foetus... They will be kept under surveillance for the next 26 days...,” added Dr Mishra. She said it was unlikely that Chourasia would have",1,40,2018
8.3428993,77.1547766,PARASSALA Kerala,"KL/THI/2021/20/0187, KL/THI/2021/28/0307, KL/ERN/2021/29/0323",Kerala,PARASSALA,PARASSALA Kerala,Zika,1,,07-07-2021,,,,"Case No: 1, AGE: 24 Sex: F",,27,2021
8.67,77.085,VITHURA Kerala,"KL/THI/2021/20/0187, KL/THI/2021/28/0307, KL/ERN/2021/29/0324",Kerala,VITHURA,VITHURA Kerala,Zika,1,,07-07-2021,,,,"Case No: 2, AGE: 28 Sex: F",,27,2021
8.67,77.085,VITHURA Kerala,"KL/THI/2021/20/0187, KL/THI/2021/28/0307, KL/ERN/2021/29/0325",Kerala,VITHURA,VITHURA Kerala,Zika,1,,07-07-2021,,,,"Case No: 3, AGE: 30 Sex: F",,27,2021
8.5096484,76.9167689,KADAKAMPALLY Kerala,"KL/THI/2021/20/0187, KL/THI/2021/28/0307, KL/ERN/2021/29/0326",Kerala,KADAKAMPALLY,KADAKAMPALLY Kerala,Zika,1,,07-07-2021,,,,"Case No: 4, AGE: 40 Sex: F",,27,2021
8.3862469,77.0660136,VENPAKAL Kerala,"KL/THI/2021/20/0187, KL/THI/2021/28/0307, KL/ERN/2021/29/0327",Kerala,VENPAKAL,VENPAKAL Kerala,Zika,1,,07-07-2021,,,,"Case No: 5, AGE: 33 Sex: M",,27,2021
8.5627051,76.8985685,PANGAPARA Kerala,"KL/THI/2021/20/0187, KL/THI/2021/28/0307, KL/ERN/2021/29/0328",Kerala,PANGAPARA,PANGAPARA Kerala,Zika,1,,07-07-2021,,,,"Case No: 6, AGE: 21 Sex: F",,27,2021
8.4648062,76.9495229,VALLAKADAVU Kerala,"KL/THI/2021/20/0187, KL/THI/2021/28/0307, KL/ERN/2021/29/0329",Kerala,VALLAKADAVU,VALLAKADAVU Kerala,Zika,1,,07-07-2021,,,,"Case No: 7, AGE: 28 Sex: F",,27,2021
8.562014,77.0545531,VELLANAD Kerala,"KL/THI/2021/20/0187, KL/THI/2021/28/0307, KL/ERN/2021/29/0330",Kerala,VELLANAD,VELLANAD Kerala,Zika,1,,07-07-2021,,,,"Case No: 8, AGE: 28 Sex: F",,27,2021
8.6249107,76.8489631,Mangalapuram Kerala,"KL/THI/2021/20/0187, KL/THI/2021/28/0307, KL/ERN/2021/29/0331",Kerala,Mangalapuram,Mangalapuram Kerala,Zika,1,,07-07-2021,,,,"Case No: 9, AGE: 20 Sex: F",,27,2021
8.4664689,76.9600161,ATTUKAL Kerala,"KL/THI/2021/20/0187, KL/THI/2021/28/0307, KL/ERN/2021/29/0332",Kerala,ATTUKAL,ATTUKAL Kerala,Zika,1,,07-07-2021,,,,"Case No: 10, AGE: 24 Sex: F",,27,2021
8.5627051,76.8985685,Pangapara Kerala,"KL/THI/2021/20/0187, KL/THI/2021/28/0307, KL/ERN/2021/29/0333",Kerala,Pangapara,Pangapara Kerala,Zika,1,,07-07-2021,,,,"Case No: 11, AGE: 23 Sex: F",,27,2021
8.5096484,76.9167689,KADAKAMPALLY Kerala,"KL/THI/2021/20/0187, KL/THI/2021/28/0307, KL/ERN/2021/29/0334",Kerala,KADAKAMPALLY,KADAKAMPALLY Kerala,Zika,1,,07-07-2021,,,,"Case No: 12, AGE: 37 Sex: F",,27,2021
8.5563727,76.9043933,PANGAPPARA Kerala,"KL/THI/2021/20/0187, KL/THI/2021/28/0307, KL/ERN/2021/29/0335",Kerala,PANGAPPARA,PANGAPPARA Kerala,Zika,1,,07-07-2021,,,,"Case No: 13, AGE: 28 Sex: F",,27,2021
8.5096484,76.9167689,KADAKAMPALLY Kerala,"KL/THI/2021/20/0187, KL/THI/2021/28/0307, KL/ERN/2021/29/0336",Kerala,KADAKAMPALLY,KADAKAMPALLY Kerala,Zika,1,,07-07-2021,,,,"Case No: 14, AGE: 24 Sex: F",,27,2021
8.5096484,76.9167689,KADAKAMPALLY Kerala,"KL/THI/2021/20/0187, KL/THI/2021/28/0307, KL/ERN/2021/29/0337",Kerala,KADAKAMPALLY,KADAKAMPALLY Kerala,Zika,1,,07-07-2021,,,,"Case No: 15, AGE: 29 Sex: F",,27,2021
8.4860181,76.9073831,KANNANTHURA Kerala,"KL/THI/2021/20/0187, KL/THI/2021/28/0307, KL/ERN/2021/29/0338",Kerala,KANNANTHURA,KANNANTHURA Kerala,Zika,1,,07-07-2021,,,,"Case No: 16, AGE: 1 Sex: ",,27,2021
8.5049839,76.9322653,KANNAMOOLA Kerala,"KL/THI/2021/20/0187, KL/THI/2021/28/0307, KL/ERN/2021/29/0339",Kerala,KANNAMOOLA,KANNAMOOLA Kerala,Zika,1,,07-07-2021,,,,"Case No: 17, AGE: 46 Sex: M",,27,2021
8.5150529,76.9550726,Nanthancode Kerala,"KL/THI/2021/20/0187, KL/THI/2021/28/0307, KL/ERN/2021/29/0340",Kerala,Nanthancode,Nanthancode Kerala,Zika,1,,07-07-2021,,,,"Case No: 18, AGE: 40 Sex: M",,27,2021
8.4884029,76.9335893,PALKULANGARA Kerala,"KL/THI/2021/20/0187, KL/THI/2021/28/0307, KL/ERN/2021/29/0341",Kerala,PALKULANGARA,PALKULANGARA Kerala,Zika,1,,07-07-2021,,,,"Case No: 19, AGE: 88 Sex: F",,27,2021
8.4478118,76.9456487,Poonthura Kerala,"KL/THI/2021/20/0187, KL/THI/2021/28/0307, KL/ERN/2021/29/0342",Kerala,Poonthura,Poonthura Kerala,Zika,1,,15-05-2021,20-05-2021,,,"Case No: 20, AGE: 35 Sex: ",5,19,2021
8.5344352,76.9683778,Shasthamangalam Kerala,"KL/THI/2021/20/0187, KL/THI/2021/28/0307, KL/ERN/2021/29/0343",Kerala,Shasthamangalam,Shasthamangalam Kerala,Zika,1,,07-07-2021,,,,"Case No: 21, AGE: 41 Sex: ",,27,2021
8.5022217,76.9458018,KUNNUKUZHI Kerala,"KL/THI/2021/20/0187, KL/THI/2021/28/0307, KL/ERN/2021/29/0344",Kerala,KUNNUKUZHI,KUNNUKUZHI Kerala,Zika,1,,07-07-2021,,,,"Case No: 22, AGE: 38 Sex: ",,27,2021
8.5096484,76.9167689,KADAKAMPALLY Kerala,"KL/THI/2021/20/0187, KL/THI/2021/28/0307, KL/ERN/2021/29/0345",Kerala,KADAKAMPALLY,KADAKAMPALLY Kerala,Zika,1,,07-07-2021,,,,"Case No: 23, AGE: 16 Sex: F",,27,2021
8.5096484,76.9167689,KADAKAMPALLY Kerala,"KL/THI/2021/20/0187, KL/THI/2021/28/0307, KL/ERN/2021/29/0346",Kerala,KADAKAMPALLY,KADAKAMPALLY Kerala,Zika,1,,07-07-2021,,,,"Case No: 24, AGE: 35 Sex: F",,27,2021
8.5186064,76.9423829,Pattom Kerala,"KL/THI/2021/20/0187, KL/THI/2021/28/0307, KL/ERN/2021/29/0347",Kerala,Pattom,Pattom Kerala,Zika,1,,07-07-2021,,,,"Case No: 25, AGE: 33 Sex: ",,27,2021
8.4835572,76.9474606,East Fort Kerala,"KL/THI/2021/20/0187, KL/THI/2021/28/0307, KL/ERN/2021/29/0348",Kerala,East Fort,East Fort Kerala,Zika,1,,07-07-2021,,,,"Case No: 26, AGE: 44 Sex: ",,27,2021
8.7984269,77.0109392,KOLLAYIL Kerala,"KL/THI/2021/20/0187, KL/THI/2021/28/0307, KL/ERN/2021/29/0349",Kerala,KOLLAYIL,KOLLAYIL Kerala,Zika,1,,07-07-2021,,,,"Case No: 27, AGE: 27 Sex: M",,27,2021
8.4247979,77.0457835,BALARAMAPURAM Kerala,"KL/THI/2021/20/0187, KL/THI/2021/28/0307, KL/ERN/2021/29/0350",Kerala,BALARAMAPURAM,BALARAMAPURAM Kerala,Zika,1,,07-07-2021,,,,"Case No: 28, AGE: 28 Sex: F",,27,2021
8.5092537,76.9167684,Anayara Kerala,"KL/THI/2021/20/0187, KL/THI/2021/28/0307, KL/ERN/2021/29/0351",Kerala,Anayara,Anayara Kerala,Zika,1,,15-05-2021,20-05-2021,,,"Case No: 29, AGE: 52 Sex: F",5,19,2021
10.0698284,76.2245929,Nedungad Kerala,"KL/THI/2021/20/0187, KL/THI/2021/28/0307, KL/ERN/2021/29/0352",Kerala,Nedungad,Nedungad Kerala,Zika,1,,,,,,"Case No: 30, AGE: 38 Sex: M",,52,2021
8.4884029,76.9335893,PALKULANGARA Kerala,"KL/THI/2021/20/0187, KL/THI/2021/28/0307, KL/ERN/2021/29/0353",Kerala,PALKULANGARA,PALKULANGARA Kerala,Zika,1,,07-07-2021,,,,"Case No: 31, AGE: 37 Sex: M",,27,2021
8.4820746,76.9389447,Perunthanni Kerala,"KL/THI/2021/20/0187, KL/THI/2021/28/0307, KL/ERN/2021/29/0354",Kerala,Perunthanni,Perunthanni Kerala,Zika,1,,07-07-2021,,,,"Case No: 32, AGE: 61 Sex: F",,27,2021
